E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
115.0  	 0.16205143468713767 	 0.16970085682839925 	 0.16347768623794123 
116.0  	 0.16161616559566613 	 0.16884749099570412 	 0.16304144065174225 
117.0  	 0.1611860103559885 	 0.16801389188937516 	 0.16261024462288198 
118.0  	 0.16076083057081905 	 0.16719929969577974 	 0.16218396358350004 
119.0  	 0.1603404930441236 	 0.1664029917247374 	 0.16176246788595075 
120.0  	 0.15992486953853796 	 0.16562428021819672 	 0.16134563258215343 
121.0  	 0.15951383654628148 	 0.16486251030984167 	 0.16093333721462855 
122.0  	 0.15910727507269298 	 0.16411705812380326 	 0.1605254656185065 
123.0  	 0.15870507043158125 	 0.16338732900169312 	 0.1601219057338455 
124.0  	 0.15830711205164172 	 0.16267275584810376 	 0.15972254942764114 
125.0  	 0.15791329329324144 	 0.16197279758556385 	 0.1593272923249482 
126.0  	 0.15752351127493017 	 0.1612869377107107 	 0.15893603364858055 
127.0  	 0.157137666709076 	 0.16061468294412368 	 0.15854867606688453 
128.0  	 0.15675566374606872 	 0.1599555619669023 	 0.15816512554911924 
129.0  	 0.1563774098265717 	 0.159309124237637 	 0.15778529122800397 
130.0  	 0.15600281554133985 	 0.15867493888394296 	 0.15740908526902433 
131.0  	 0.15563179449815392 	 0.15805259366320185 	 0.15703642274611518 
132.0  	 0.15526426319545017 	 0.15744169398758173 	 0.15666722152335893 
133.0  	 0.1549001409022567 	 0.1568418620088038 	 0.15630140214236762 
134.0  	 0.15453934954406867 	 0.15625273575847676 	 0.15593888771503062 
135.0  	 0.1541818135943222 	 0.1556739683401509 	 0.15557960382133562 
136.0  	 0.1538274599711487 	 0.15510522716953912 	 0.15522347841198494 
137.0  	 0.15347621793911062 	 0.1545461932596288 	 0.15487044171554937 
138.0  	 0.15312801901563966 	 0.15399656054765293 	 0.15452042614991396 
139.0  	 0.15278279688191665 	 0.1534560352611238 	 0.15417336623778882 
140.0  	 0.15244048729794837 	 0.15292433532033797 	 0.1538291985260692 
141.0  	 0.15210102802161127 	 0.15240118977495473 	 0.15348786150884214 
142.0  	 0.15176435873144772 	 0.15188633827242828 	 0.15314929555385115 
143.0  	 0.15143042095301326 	 0.15137953055623404 	 0.15281344283223833 
144.0  	 0.15109915798858398 	 0.1508805259919803 	 0.15248024725139678 
145.0  	 0.15077051485004794 	 0.15038909311963208 	 0.1521496543907741 
146.0  	 0.15044443819481154 	 0.14990500923020267 	 0.15182161144047732 
147.0  	 0.15012087626456558 	 0.14942805996538147 	 0.15149606714253905 
148.0  	 0.14979977882676124 	 0.14895803893867782 	 0.15117297173471142 
149.0  	 0.14948109711865795 	 0.14849474737675533 	 0.15085227689666228 
150.0  	 0.14916478379381187 	 0.14803799377972696 	 0.15053393569845594 
151.0  	 0.14885079486774164 	 0.1475875957925638 	 0.1502179046855009 
152.0  	 0.1485390954676479 	 0.14714338625756143 	 0.14990415002982546 
153.0  	 0.14822965347043873 	 0.1467052059702405 	 0.149592640736242 
154.0  	 0.14792243743617028 	 0.14627290118501052 	 0.14928334643806723 
155.0  	 0.14761741658836164 	 0.14584632338369133 	 0.14897623738018062 
156.0  	 0.1473145607950305 	 0.1454253290556611 	 0.14867128440265165 
157.0  	 0.14701384055041683 	 0.14500977948896074 	 0.14836845892491313 
158.0  	 0.14671522695736477 	 0.14459954057172789 	 0.1480677329304596 
159.0  	 0.1464186917103327 	 0.14419448260337164 	 0.14776907895204855 
160.0  	 0.14612420707900659 	 0.14379448011494106 	 0.14747247005738612 
161.0  	 0.1458317458924876 	 0.1433994116981702 	 0.14717787983527733 
162.0  	 0.14554128152403253 	 0.14300915984272017 	 0.14688528238222376 
163.0  	 0.14525278787632107 	 0.14262361078116365 	 0.14659465228944998 
164.0  	 0.1449662393672293 	 0.14224265434128974 	 0.1463059646303441 
165.0  	 0.14468161091608797 	 0.1418661838053307 	 0.1460191949482951 
166.0  	 0.1443988779304053 	 0.14149409577573654 	 0.14573431924491287 
167.0  	 0.14411801629303508 	 0.1411262900471478 	 0.14545131396861632 
168.0  	 0.14383900234977226 	 0.1407626694842354 	 0.14517015600357505 
169.0  	 0.14356181289735928 	 0.14040313990509995 	 0.14489082265899375 
170.0  	 0.14328642517188475 	 0.14004760996993612 	 0.14461329165872303 
171.0  	 0.14301281683756145 	 0.13969599107469113 	 0.14433754113118874 
172.0  	 0.14274096597586622 	 0.1393481972494557 	 0.14406354959962456 
173.0  	 0.14247085107502933 	 0.13900414506134817 	 0.14379129597259976 
174.0  	 0.14220245101985862 	 0.13866375352165944 	 0.14352075953482965 
175.0  	 0.1419357450818861 	 0.13832694399704548 	 0.14325191993825936 
176.0  	 0.14167071290982394 	 0.13799364012456192 	 0.14298475719341117 
177.0  	 0.14140733452031906 	 0.13766376773035013 	 0.1427192516609858 
178.0  	 0.14114559028899368 	 0.13733725475179348 	 0.14245538404370936 
179.0  	 0.14088546094176232 	 0.13701403116297156 	 0.14219313537841632 
180.0  	 0.14062692754641443 	 0.136694028903253 	 0.14193248702836175 
181.0  	 0.14036997150445232 	 0.13637718180887237 	 0.14167342067575328 
182.0  	 0.14011457454317555 	 0.13606342554734774 	 0.14141591831449649 
183.0  	 0.13986071870800332 	 0.13575269755460379 	 0.14115996224314642 
184.0  	 0.1396083863550242 	 0.1354449369746686 	 0.14090553505805678 
185.0  	 0.13935756014376782 	 0.1351400846018258 	 0.14065261964672227 
186.0  	 0.1391082230301876 	 0.13483808282510312 	 0.1404011991813057 
187.0  	 0.13886035825984966 	 0.13453887557499095 	 0.14015125711234505 
188.0  	 0.13861394936131843 	 0.13424240827228548 	 0.13990277716263366 
189.0  	 0.13836898013973384 	 0.13394862777895927 	 0.1396557433212684 
190.0  	 0.138125434670572 	 0.13365748235096575 	 0.13941013983785996 
191.0  	 0.13788329729358365 	 0.13336892159288974 	 0.13916595121689984 
192.0  	 0.13764255260690444 	 0.13308289641436077 	 0.13892316221227985 
193.0  	 0.13740318546133024 	 0.13279935898814865 	 0.13868175782195757 
194.0  	 0.13716518095475339 	 0.13251826270986775 	 0.13844172328276516 
195.0  	 0.1369285244267529 	 0.13223956215921703 	 0.13820304406535516 
196.0  	 0.13669320145333394 	 0.13196321306268852 	 0.13796570586927945 
197.0  	 0.13645919784181235 	 0.13168917225768045 	 0.13772969461819837 
198.0  	 0.13622649962583785 	 0.13141739765795155 	 0.1374949964552132 
199.0  	 0.1359950930605535 	 0.13114784822036166 	 0.13726159773832178 
200.0  	 0.1357649646178841 	 0.1308804839128402 	 0.13702948503598994 
201.0  	 0.1355361009754984 	 0.13061526643416557 	 0.13679864509791612 
202.0  	 0.13530848899330905 	 0.1303521613749737 	 0.13656906477785155 
203.0  	 0.13508211572906 	 0.1300911358333505 	 0.13634073110732184 
204.0  	 0.13485696844062345 	 0.12983215762784966 	 0.1361136313168413 
205.0  	 0.1346330345818709 	 0.12957519527749664 	 0.13588775283185706 
206.0  	 0.1344103017986501 	 0.129320217982459 	 0.13566308326879487 
207.0  	 0.13418875792486537 	 0.12906719560536004 	 0.13543961043120553 
